Liquid (mL),Actual Distance (mm)
1000,60.35
999,61.36
998,62.38
997,63.39
997,63.39
996,64.54
995,65.7
994,66.85
993,68.0
992,69.15
991,70.31
990,71.46
989,72.61
988,73.77
987,74.92
987,74.92
986,76.12
985,77.32
984,78.51
983,79.71
982,80.91
981,82.11
980,83.31
979,84.51
978,85.7
977,86.9
976,88.1
976,88.1
975,88.78
974,89.45
973,90.13
972,90.8
971,91.48
970,92.16
969,92.83
968,93.51
967,94.18
966,94.86
966,94.86
965,95.28
964,95.69
963,96.11
962,96.52
961,96.94
960,97.36
959,97.77
958,98.19
957,98.6
956,99.02
956,99.02
955,99.3
954,99.58
953,99.86
952,100.14
951,100.41
950,100.69
949,100.97
948,101.25
947,101.53
946,101.81
946,101.81
945,102.05
944,102.29
943,102.53
942,102.77
941,103.0
940,103.24
939,103.48
938,103.72
937,103.96
936,104.2
936,104.2
935,104.4
934,104.6
933,104.79
932,104.99
931,105.19
930,105.39
929,105.58
928,105.78
927,105.98
927,105.98
926,106.13
925,106.27
924,106.42
923,106.56
922,106.71
921,106.86
920,107.0
919,107.15
918,107.29
917,107.44
917,107.44
916,107.57
915,107.7
914,107.83
913,107.96
912,108.09
911,108.22
910,108.35
909,108.48
908,108.61
907,108.74
907,108.74
906,108.9
905,109.07
904,109.23
903,109.4
902,109.56
901,109.73
900,109.89
899,110.06
898,110.22
897,110.39
897,110.39
896,110.54
895,110.68
894,110.83
893,110.97
892,111.12
891,111.27
890,111.41
889,111.56
888,111.7
887,111.85
887,111.85
886,112.01
885,112.16
884,112.32
883,112.48
882,112.63
881,112.79
880,112.95
879,113.11
878,113.26
877,113.42
877,113.42
876,113.59
875,113.76
874,113.93
873,114.1
872,114.27
871,114.44
870,114.61
869,114.78
868,114.95
867,115.12
867,115.12
866,115.28
865,115.45
864,115.61
863,115.78
862,115.94
861,116.11
860,116.27
859,116.44
858,116.6
857,116.77
857,116.77
856,116.94
855,117.11
854,117.28
853,117.45
852,117.62
851,117.8
850,117.97
849,118.14
848,118.31
847,118.48
847,118.48
846,118.63
845,118.79
844,118.94
843,119.09
842,119.24
841,119.4
840,119.55
839,119.7
838,119.86
837,120.01
837,120.01
836,120.18
835,120.35
834,120.52
833,120.69
832,120.86
831,121.03
830,121.2
829,121.37
828,121.54
827,121.71
827,121.71
826,121.87
825,122.04
824,122.2
823,122.37
822,122.53
821,122.69
820,122.86
819,123.02
818,123.19
817,123.35
817,123.35
816,123.52
815,123.69
814,123.86
813,124.03
812,124.19
811,124.36
810,124.53
809,124.7
808,124.87
807,125.04
807,125.04
806,125.21
805,125.37
804,125.54
803,125.7
802,125.87
801,126.04
800,126.2
799,126.37
798,126.53
797,126.7
797,126.7
796,126.87
795,127.03
794,127.2
793,127.37
792,127.54
791,127.7
790,127.87
789,128.04
788,128.2
787,128.37
786,128.54
785,128.71
784,128.87
783,129.04
782,129.21
781,129.37
780,129.54
779,129.71
778,129.88
777,130.04
776,130.21
775,130.38
774,130.54
773,130.71
772,130.88
771,131.05
770,131.21
769,131.38
768,131.55
767,131.71
766,131.88
