Liquid (mL),Prev Depth,Depth,Packet,Timestamp
1000,0,64,01000000b63600400000fd846300000000000000,2019-06-10T10:20:56-07:00
966,64,99,01000000b63605630040f684bb00000063000000,2019-06-10T10:22:25-07:00
936,99,105,01000000b63601690063f284f3000000bb000000,2019-06-10T10:23:23-07:00
906,105,109,01000000b636016d0069f6842b010000f3000000,2019-06-10T10:24:21-07:00
876,Missed,Missed,Missed,2019-06-10T10:27:08-07:00
844,109,117,01000000b6360175006df684630100002b010000,2019-06-10T10:27:54-07:00
812,117,123,01000000b636017b0075fa849c01000063010000,2019-06-10T10:28:56-07:00
782,123,133,01000000b6360185007bfa84d40100009c010000,2019-06-10T10:29:54-07:00
748,133,136,01000000b63601880085fa840d020000d4010000,2019-06-10T10:30:53-07:00
708,136,149,01000000b63601950088fa84660200000d020000,2019-06-10T10:32:23-07:00
670,Missed,Missed,Missed,2019-06-10T10:35:10-07:00
636,149,157,01000000b636019d0095fa84bf02000066020000,2019-06-10T10:36:28-07:00
596,157,163,01000000b63601a3009df684f8020000bf020000,2019-06-10T10:37:26-07:00
552,163,165,01000000b63601a500a3f2844f030000f8020000,2019-06-10T10:38:58-07:00
514,165,181,01000000b63601b500a5fa84880300004f030000,2019-06-10T10:39:57-07:00
476,181,182,01000000b63601b600b5f684e103000088030000,2019-06-10T10:41:27-07:00
442,182,192,01000000b63601c000b6f28439040000e1030000,2019-06-10T10:43:00-07:00
402,192,198,01000000b63601c600c0f6849204000039040000,2019-06-10T10:44:30-07:00
366,198,200,01000000b63601c800c6f284eb04000092040000,2019-06-10T10:46:01-07:00
336,200,205,01000000b63601cd00c8ef8444050000eb040000,2019-06-10T10:47:32-07:00
298,205,216,01000000b63601d800cdf2849d05000044050000,2019-06-10T10:49:02-07:00
264,216,221,01000000b63601dd00d8f284f50500009d050000,2019-06-10T10:50:32-07:00
236,221,223,01000000b63601df00ddf2844d060000f5050000,2019-06-10T10:52:02-07:00
208,223,230,01000000b63601e600dff284a60600004d060000,2019-06-10T10:53:33-07:00
180,230,232,01000000b63601e800e6f284fe060000a6060000,2019-06-10T10:55:02-07:00
154,Missed,Missed,Missed,2019-06-10T10:57:50-07:00
122,232,246,01000000b63601f600e8f28456070000fe060000,2019-06-10T10:59:06-07:00
90,Missed,Missed,Missed,2019-06-10T11:01:54-07:00
60,246,256,01000000b636010001f6ef84ae07000056070000,2019-06-10T11:03:10-07:00
28,Missed,Missed,Missed,2019-06-10T11:05:57-07:00
2,256,264,01000000b63601081100f28407080000ae070000,2019-06-10T11:07:15-07:00
0,264,264,01000000b63601081108f2846108000007080000,2019-06-10T11:08:46-07:00
